gene	drug
MTOR	AMSACRINE
MTOR	NICARDIPINE
MTOR	COPANLISIB
MTOR	PROPAFENONE
MTOR	PIMOZIDE
MTOR	PAZOPANIB
MTOR	PERPHENAZINE
MTOR	TEMSIROLIMUS
MTOR	HALOPERIDOL
MTOR	AMIODARONE
MTOR	IFENPRODIL
MTOR	PIMECROLIMUS
MTOR	METFORMIN
MTOR	PENTAMIDINE ISETHIONATE
MTOR	ISOPROTERENOL
MTOR	DEQUALINIUM
MTOR	IDARUBICIN
HRAS	VEMURAFENIB
HRAS	ALPELISIB
HRAS	BINIMETINIB
HRAS	STREPTOZOCIN
HRAS	GEMCITABINE
HRAS	DABRAFENIB
HRAS	EVEROLIMUS
HRAS	HYDROXYUREA
HRAS	PANITUMUMAB
HRAS	NITROGLYCERIN
HRAS	METFORMIN
HRAS	DASATINIB
HRAS	BEVACIZUMAB
HRAS	INSULIN
HRAS	CETUXIMAB
HRAS	CABOZANTINIB
HRAS	DOCETAXEL
HRAS	EPOETIN BETA
HRAS	SIROLIMUS
HRAS	TRAMETINIB
IL2RA	FLUOROURACIL
IL2RA	PACLITAXEL
IL2RA	METHYLPREDNISOLONE
IL2RA	MERCAPTOPURINE
IL2RA	DENILEUKIN DIFTITOX
IL2RA	PROPYLTHIOURACIL
IL2RA	PROGESTERONE
IL2RA	CLADRIBINE
IL2RA	FLUTAMIDE
IL2RA	ALDESLEUKIN
IL2RA	DIDANOSINE
IL2RA	CETIRIZINE
IL2RA	CAFFEINE
IL2RA	VERAPAMIL
IL2RA	BASILIXIMAB
IL2RA	THEOPHYLLINE
IL2RA	DECITABINE
IL2RA	DACLIZUMAB
IL2RA	METHIMAZOLE
IL2RA	ATORVASTATIN
IL2RB	BASILIXIMAB
IL2RB	DACLIZUMAB
IL2RB	ALDESLEUKIN
IL2RB	DENILEUKIN DIFTITOX
JAK1	TOFACITINIB CITRATE
JAK1	FOSTAMATINIB
JAK1	PEMBROLIZUMAB
JAK1	RUXOLITINIB
JAK1	BARICITINIB
JAK1	RUXOLITINIB PHOSPHATE
JAK1	CYCLOSPORINE
JAK1	TOFACITINIB
JAK2	TOFACITINIB CITRATE
JAK2	ERLOTINIB
JAK2	RUXOLITINIB
JAK2	TRIAMTERENE
JAK2	PEMBROLIZUMAB
JAK2	DASATINIB
JAK2	TOFACITINIB
JAK2	SIROLIMUS
JAK2	PACLITAXEL
JAK2	FOSTAMATINIB
JAK2	BARICITINIB
JAK2	RUXOLITINIB PHOSPHATE
JAK2	IMATINIB
LYN	DASATINIB
LYN	SORAFENIB
LYN	NINTEDANIB
LYN	IBRUTINIB
LYN	ERLOTINIB
LYN	IMATINIB
LYN	PONATINIB
LYN	FOSTAMATINIB
LYN	BOSUTINIB
LYN	GEFITINIB
LYN	ACALABRUTINIB
LYN	NILOTINIB
MET	FLUOROURACIL
MET	AFATINIB
MET	RUCAPARIB
MET	CABOZANTINIB
MET	PACLITAXEL
MET	VEMURAFENIB
MET	LEUCOVORIN
MET	TRAMETINIB
MET	CRIZOTINIB
MET	CETUXIMAB
MET	TRASTUZUMAB
MET	FOSTAMATINIB
MET	BRIGATINIB
MET	OXALIPLATIN
MET	CARBOPLATIN
MET	SORAFENIB
MET	GEFITINIB
MET	IMATINIB
MET	CABOZANTINIB S-MALATE
MET	PALBOCICLIB
MET	CAPECITABINE
MET	LAPATINIB
MET	ERLOTINIB
MET	OLAPARIB
MET	BEVACIZUMAB
MET	OSIMERTINIB
MET	PANITUMUMAB
MET	PONATINIB
MET	DASATINIB
MET	PAZOPANIB
MET	ALECTINIB
NFKB1	BORTEZOMIB
NFKB1	BACLOFEN
NFKB1	PROTRIPTYLINE
NFKB1	HYDROQUINONE
NFKB1	CHLORAMBUCIL
NFKB1	SULFAPHENAZOLE
NFKB1	DISULFIRAM
NFKB1	THALIDOMIDE
NFKB1	ARTESUNATE
NFKB1	NIFEDIPINE
NFKB1	TRIAMCINOLONE
NFKB1	PSEUDOEPHEDRINE
NFKB1	MITOXANTRONE
NFKB1	HYDROCORTISONE
NFKB1	CHLORPROPAMIDE
NFKB1	PROMETHAZINE HYDROCHLORIDE
PIK3CB	COPANLISIB
PIK3CB	EPINEPHRINE
PIK3CB	PRASTERONE
PIK3CB	MIDOSTAURIN
PIK3CB	DUVELISIB
PIK3CB	OCTREOTIDE
PIK3CB	IDELALISIB
PIK3CB	DOXORUBICIN
PIK3CB	CAFFEINE
PIK3CB	LOVASTATIN
PIK3CB	ALPELISIB
PIK3CB	PROGESTERONE
PRKCB	MIDOSTAURIN
PRKCB	DEXMEDETOMIDINE
PRKCB	SINCALIDE
PRKCB	ATENOLOL
MAPK1	ERLOTINIB
MAPK1	THIMEROSAL
MAPK1	LEVODOPA
MAPK1	LORATADINE
MAPK1	DIPHENHYDRAMINE HYDROCHLORIDE
MAPK1	CANTHARIDIN
MAPK1	ZALCITABINE
MAPK1	MINOCYCLINE
MAPK1	DOXORUBICIN HYDROCHLORIDE
MAPK1	ZAFIRLUKAST
MAPK1	TRIFLUOPERAZINE
MAPK1	BENZALKONIUM CHLORIDE
MAPK1	CHLORHEXIDINE HYDROCHLORIDE
MAPK1	BUMETANIDE
MAPK1	SORAFENIB
MAPK1	CLOTRIMAZOLE
MAPK1	PIMOZIDE
MAPK1	PROGESTERONE
MAPK1	GENTIAN VIOLET
MAPK1	ECONAZOLE NITRATE
MAPK1	NIFEDIPINE
MAPK1	MITOXANTRONE HYDROCHLORIDE
MAPK1	ETOPOSIDE
MAPK1	ISOPROTERENOL
MAPK1	DAUNORUBICIN HYDROCHLORIDE
MAPK1	MITOXANTRONE
MAPK3	NITROGLYCERIN
MAPK3	PRASTERONE
MAPK3	SINCALIDE
MAPK3	SULINDAC
MAPK3	ETOPOSIDE
MAPK3	CYCLOPHOSPHAMIDE
MAPK3	SORAFENIB
MAP2K1	DASATINIB
MAP2K1	ALPELISIB
MAP2K1	TRAMETINIB DIMETHYL SULFOXIDE
MAP2K1	VEMURAFENIB
MAP2K1	COBIMETINIB
MAP2K1	BINIMETINIB
MAP2K1	BOSUTINIB
MAP2K1	ENCORAFENIB
MAP2K1	DABRAFENIB
MAP2K1	CETUXIMAB
MAP2K1	TRAMETINIB
MAP2K1	CERITINIB
MAP2K1	PANITUMUMAB
MAP2K1	COBIMETINIB FUMARATE
MAP2K1	VANDETANIB
PTEN	OLAPARIB
PTEN	FULVESTRANT
PTEN	BINIMETINIB
PTEN	VORINOSTAT
PTEN	CARBOPLATIN
PTEN	SORAFENIB
PTEN	NIRAPARIB
PTEN	COPANLISIB
PTEN	PEMETREXED
PTEN	ABIRATERONE
PTEN	ALPELISIB
PTEN	ERLOTINIB
PTEN	SIROLIMUS
PTEN	CAPECITABINE
PTEN	RUCAPARIB
PTEN	VEMURAFENIB
PTEN	METFORMIN
PTEN	TEMOZOLOMIDE
PTEN	ENZALUTAMIDE
PTEN	ENCORAFENIB
PTEN	GEFITINIB
PTEN	TOPOTECAN
PTEN	PALBOCICLIB
PTEN	VENETOCLAX
PTEN	FLUOROURACIL
PTEN	TRASTUZUMAB
PTEN	CISPLATIN
PTEN	VANDETANIB
PTEN	TALAZOPARIB
PTEN	PACLITAXEL
PTEN	EVEROLIMUS
PTEN	PANITUMUMAB
PTEN	IDELALISIB
PTEN	PEMBROLIZUMAB
PTEN	OXALIPLATIN
PTEN	TEMSIROLIMUS
PTEN	DACOMITINIB
PTEN	NIVOLUMAB
PTEN	GEMCITABINE
PTEN	CETUXIMAB
PTEN	PROGESTERONE
RASA1	TRAMETINIB
STAT3	PYRIMETHAMINE
STAT3	DIGITOXIN
STAT3	NICLOSAMIDE
STAT3	DIGOXIN
STAT3	ACITRETIN
STAT3	OUABAIN
SYK	FOSTAMATINIB
SYK	IMATINIB MESYLATE
SYK	DASATINIB
SYK	ERLOTINIB
SYK	PACLITAXEL
TP53	PAZOPANIB
TP53	PIMOZIDE
TP53	PEMBROLIZUMAB
TP53	OXALIPLATIN
TP53	MITOMYCIN
TP53	DECITABINE
TP53	ETOPOSIDE
TP53	CRIZOTINIB
TP53	CHLORPROMAZINE
TP53	MAPROTILINE
TP53	RIBAVIRIN
TP53	METHYLDOPA
TP53	PROGESTERONE
TP53	DOPAMINE
TP53	NORTRIPTYLINE
TP53	TOPOTECAN
TP53	TRIFLUPROMAZINE
TP53	TRICLOCARBAN
TP53	FLUOROURACIL
TP53	PROCHLORPERAZINE
TP53	DAUNORUBICIN HYDROCHLORIDE
TP53	ETHOPROPAZINE HYDROCHLORIDE
TP53	PERPHENAZINE
TP53	DOXORUBICIN
TP53	VEMURAFENIB
TP53	DUVELISIB
TP53	VENETOCLAX
TP53	HEXACHLOROPHENE
TP53	GEMCITABINE
TP53	OLAPARIB
TP53	TAMOXIFEN
TP53	TAMOXIFEN CITRATE
TP53	METHOTREXATE
TP53	ZINC CHLORIDE
TP53	CYCLOPHOSPHAMIDE
TP53	ALPELISIB
TP53	CLEMASTINE
TP53	CLOMIPRAMINE
TP53	ERLOTINIB
TP53	HYDRALAZINE HYDROCHLORIDE
TP53	CHLOROXINE
TP53	PACLITAXEL
TP53	CLOFIBRATE
TP53	GRANISETRON
TP53	IFOSFAMIDE
TP53	MELPHALAN
TP53	WARFARIN
TP53	TRIFLUOPERAZINE
TP53	PROPYLTHIOURACIL
TP53	SERTRALINE HYDROCHLORIDE
TP53	ABEMACICLIB
TP53	ANISINDIONE
TP53	METHIMAZOLE
TP53	CISPLATIN
TP53	METHYLENE BLUE
TP53	BEVACIZUMAB
TP53	EPIRUBICIN
TP53	SALMETEROL XINAFOATE
TP53	MECHLORETHAMINE HYDROCHLORIDE
TP53	CLOTRIMAZOLE
TP53	LORLATINIB
TP53	MITOXANTRONE HYDROCHLORIDE
TP53	MENADIONE
TP53	CLADRIBINE
TP53	PRAMLINTIDE
TP53	HALOPERIDOL
TP53	BENZALKONIUM CHLORIDE
TP53	TRIFLURIDINE
TP53	PANITUMUMAB
TP53	PROCHLORPERAZINE EDISYLATE
TP53	TEMOZOLOMIDE
TP53	DABRAFENIB
TP53	SULCONAZOLE NITRATE
TP53	CHLORAMBUCIL
TP53	SERTRALINE
TP53	LOPERAMIDE
TP53	CINNARIZINE
TP53	FENOFIBRATE
TP53	MERCAPTOPURINE
TP53	APOMORPHINE
TP53	VORINOSTAT
TP53	IBRUTINIB
TP53	FURAZOLIDONE
TP53	ENALAPRIL
TP53	AZACITIDINE
TP53	DAUNORUBICIN
TP53	BORTEZOMIB
TP53	MITOXANTRONE
TP53	DOCETAXEL
TP53	CARBOPLATIN
TP53	RITUXIMAB
TP53	DOXORUBICIN HYDROCHLORIDE
TP53	CYTARABINE
TP53	METHYLPREDNISOLONE
TP53	FLUPHENAZINE
TP53	TRAMETINIB
TP53	CETUXIMAB
TP53	CAPECITABINE
TP53	NITAZOXANIDE
TP53	ENCORAFENIB
TP53	RALOXIFENE
TP53	AZATHIOPRINE
TP53	NICLOSAMIDE
TP53	TRIAMTERENE
TP53	ECONAZOLE NITRATE
TP53	THIMEROSAL
TP53	AMOXAPINE
TP53	DASATINIB
TP53	IRINOTECAN
TP53	SIROLIMUS
TP53	PAROXETINE HYDROCHLORIDE
IQGAP1	ARTENIMOL
BCL2L11	IMATINIB
