Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
One carbon pool by folate	Metabolism of cofactors and vitamins	Metabolism	KEGG:00670	126	6	4.11674952828729e-06	AMT,DHFR,MTHFR,SHMT1,MTHFD1L,MTFMT	KEGG
Oxidative phosphorylation	Energy metabolism	Metabolism	KEGG:00190	126	16	4.0701068684805e-09	ATP6V1B2,ATP6V1E1,ATP6V1G2,COX10,NDUFA10,NDUFS3,NDUFS4,NDUFS8,NDUFV3,SDHB,ATP6V0E1,PPA2,UQCR10,ATP6V1H,NDUFA4L2,LHPP	KEGG
Parkinson disease	Neurodegenerative disease	Human Diseases	KEGG:05012	126	10	0.0186781963997131	MAOB,NDUFA10,NDUFS3,NDUFS4,NDUFS8,NDUFV3,SDHB,TH,UQCR10,NDUFA4L2	KEGG
Pentose phosphate pathway	Carbohydrate metabolism	Metabolism	KEGG:00030	126	8	1.75888544729529e-07	PFKM,PGD,PGM1,TALDO1,RPIA,PGM2,RBKS,IDNK	KEGG
Peroxisome	Transport and catabolism	Cellular Processes	KEGG:04146	126	16	2.65423169680399e-12	ACOX1,HSD17B4,NOS2,PEX7,PEX14,ABCD3,SCP2,ACOX2,DDO,AGPS,ECI2,SLC25A17,ACSL6,CROT,FAR2,PEX11G	KEGG
PPAR signaling pathway	Endocrine system	Organismal Systems	KEGG:03320	126	9	1.93585315692392e-05	ACOX1,CPT1B,SCP2,ACOX2,FADS2,ME3,ACSBG1,ACSL6,CPT1C	KEGG
Primary bile acid biosynthesis	Lipid metabolism	Metabolism	KEGG:00120	126	3	0.00842016750768078	HSD17B4,SCP2,ACOX2	KEGG
Propanoate metabolism	Carbohydrate metabolism	Metabolism	KEGG:00640	126	13	6.21246814212163e-14	ABAT,ACACB,ACADS,ACOX1,BCKDHB,DLD,LDHB,LDHC,PCCA,PCCB,SUCLG1,ECHDC1,ACSS2	KEGG
Purine metabolism	Nucleotide metabolism	Metabolism	KEGG:00230	126	9	0.000934938065285189	ADSS,ENTPD1,PGM1,PKLR,NME6,NT5C,PGM2,NTPCR,AK9	KEGG
Pyrimidine metabolism	Nucleotide metabolism	Metabolism	KEGG:00240	126	8	1.93585315692392e-05	CAD,ENTPD1,DPYD,TYMP,UCK2,NME6,NT5C,AK9	KEGG
Pyruvate metabolism	Carbohydrate metabolism	Metabolism	KEGG:00620	126	11	2.95369536674084e-10	ACACB,ALDH2,ALDH9A1,DLD,LDHB,LDHC,PC,PDHB,PKLR,ME3,ACSS2	KEGG
Rheumatoid arthritis	Immune disease	Human Diseases	KEGG:05323	126	5	0.0329633285089175	ATP6V1B2,ATP6V1E1,ATP6V1G2,ATP6V0E1,ATP6V1H	KEGG
Starch and sucrose metabolism	Carbohydrate metabolism	Metabolism	KEGG:00500	126	3	0.0474034517095147	PGM1,TREH,PGM2	KEGG
Synaptic vesicle cycle	Nervous system	Organismal Systems	KEGG:04721	126	5	0.0224042027064794	ATP6V1B2,ATP6V1E1,ATP6V1G2,ATP6V0E1,ATP6V1H	KEGG
Thermogenesis	Environmental adaptation	Organismal Systems	KEGG:04714	126	15	2.18090576400223e-05	COX10,CPT1B,NDUFA10,NDUFS3,NDUFS4,NDUFS8,NDUFV3,SDHB,ACSL6,UQCR10,NDUFAF1,NDUFA4L2,NDUFAF5,NDUFAF2,CPT1C	KEGG
Tryptophan metabolism	Amino acid metabolism	Metabolism	KEGG:00380	126	5	0.00214124913190471	ALDH2,ALDH9A1,DLD,MAOB,INMT	KEGG
Tyrosine metabolism	Amino acid metabolism	Metabolism	KEGG:00350	126	4	0.00744497632845846	ADH4,MAOB,PNMT,TH	KEGG
Valine, leucine and isoleucine degradation	Amino acid metabolism	Metabolism	KEGG:00280	126	8	5.95595591003909e-06	ABAT,ACADS,ALDH2,ALDH9A1,BCKDHB,DLD,PCCA,PCCB	KEGG
Vibrio cholerae infection	Infectious disease: bacterial	Human Diseases	KEGG:05110	126	5	0.00468395305083875	ATP6V1B2,ATP6V1E1,ATP6V1G2,ATP6V0E1,ATP6V1H	KEGG
