Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Neuroactive ligand-receptor interaction	Signaling molecules and interaction	Environmental Information Processing	KEGG:04080	79	28	4.38320733681751e-17	ADORA1,C5,CALCB,LTB4R,DRD4,EDN3,EDNRB,FPR1,FPR3,GABBR1,GCG,GIPR,HTR1F,HTR7,MLN,OPRL1,PTGER3,PTGER4,PTGIR,PTH2R,SCTR,SSTR3,TSHR,GABBR2,LPAR3,GAL,S1PR5,RXFP2	KEGG
Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins	Metabolism	KEGG:00760	79	5	0.000187983965967535	ENPP1,NMNAT2,QPRT,NADSYN1,NADK2	KEGG
Ovarian steroidogenesis	Endocrine system	Organismal Systems	KEGG:04913	79	3	0.0350640052270937	ADCY1,ADCY2,ADCY3	KEGG
Oxytocin signaling pathway	Endocrine system	Organismal Systems	KEGG:04921	79	6	0.0118970012161554	ADCY1,ADCY2,ADCY3,GNAI3,KCNJ4,PLCB3	KEGG
Pancreatic secretion	Digestive system	Organismal Systems	KEGG:04972	79	5	0.0105352070753357	ADCY1,ADCY2,ADCY3,PLCB3,SCTR	KEGG
Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins	Metabolism	KEGG:00770	79	2	0.0428575555191646	ENPP1,PPCDC	KEGG
Parathyroid hormone synthesis, secretion and action	Endocrine system	Organismal Systems	KEGG:04928	79	10	1.15346989060097e-06	ADCY1,ADCY2,ADCY3,GNA12,GNAI3,PDE4A,PDE4B,PDE4C,PLCB3,GNA13	KEGG
Pathways in cancer	Cancer: overview	Human Diseases	KEGG:05200	79	12	0.0153579199237558	ADCY1,ADCY2,ADCY3,EDNRB,GNA12,GNAI3,PLCB3,PTGER3,PTGER4,GNA13,LPAR3,GNB4	KEGG
Phospholipase D signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04072	79	12	3.05724098068503e-07	ADCY1,ADCY2,ADCY3,GNA12,CXCR1,CXCR2,PLCB3,DGKE,CYTH3,CYTH1,GNA13,LPAR3	KEGG
Platelet activation	Immune system	Organismal Systems	KEGG:04611	79	7	0.00123616316985995	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3,PTGIR,GNA13	KEGG
Progesterone-mediated oocyte maturation	Endocrine system	Organismal Systems	KEGG:04914	79	4	0.0382797791799856	ADCY1,ADCY2,ADCY3,GNAI3	KEGG
Purine metabolism	Nucleotide metabolism	Metabolism	KEGG:00230	79	12	7.33311105986779e-08	ADCY1,ADCY2,ADCY3,ADK,PDE2A,PDE4A,PDE4B,PDE4C,PDE8A,PDE9A,ENPP1,PDE7B	KEGG
Rap1 signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04015	79	7	0.0131267807351392	ADCY1,ADCY2,ADCY3,FPR1,GNAI3,PLCB3,LPAR3	KEGG
Regulation of lipolysis in adipocytes	Endocrine system	Organismal Systems	KEGG:04923	79	7	1.06426470801556e-05	ADCY1,ADCY2,ADCY3,ADORA1,GNAI3,PTGER3,TSHR	KEGG
Relaxin signaling pathway	Endocrine system	Organismal Systems	KEGG:04926	79	8	0.000255393152500213	ADCY1,ADCY2,ADCY3,EDNRB,GNAI3,PLCB3,GNB4,RXFP2	KEGG
Renin secretion	Endocrine system	Organismal Systems	KEGG:04924	79	5	0.00259426259527288	ADORA1,EDN3,GNAI3,PLCB3,PTGER4	KEGG
Retrograde endocannabinoid signaling	Nervous system	Organismal Systems	KEGG:04723	79	6	0.0105352070753357	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3,GNB4	KEGG
Riboflavin metabolism	Metabolism of cofactors and vitamins	Metabolism	KEGG:00740	79	2	0.00931667704719817	ACP2,ENPP1	KEGG
Salivary secretion	Digestive system	Organismal Systems	KEGG:04970	79	4	0.0341229468628975	ADCY1,ADCY2,ADCY3,PLCB3	KEGG
Serotonergic synapse	Nervous system	Organismal Systems	KEGG:04726	79	6	0.00370061507715758	APP,GNAI3,HTR1F,HTR7,PLCB3,GNB4	KEGG
Sphingolipid signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04071	79	6	0.00452604094316974	ADORA1,GNA12,GNAI3,PLCB3,GNA13,S1PR5	KEGG
Taste transduction	Sensory system	Organismal Systems	KEGG:04742	79	5	0.00582986963806976	GABBR1,HTR1F,PLCB3,GABBR2,TAS1R3	KEGG
Thyroid hormone synthesis	Endocrine system	Organismal Systems	KEGG:04918	79	7	7.7659326305518e-05	ADCY1,ADCY2,ADCY3,PLCB3,SLC5A5,TG,TSHR	KEGG
Vascular smooth muscle contraction	Circulatory system	Organismal Systems	KEGG:04270	79	9	6.7314989039125e-05	ADCY1,ADCY2,ADCY3,CALCB,EDN3,GNA12,PLCB3,PTGIR,GNA13	KEGG
Viral protein interaction with cytokine and cytokine receptor	Signaling molecules and interaction	Environmental Information Processing	KEGG:04061	79	11	6.07362759842529e-08	CCR1,CCR3,CCR6,XCR1,CXCR1,CXCR2,CCL13,CCL20,CXCL5,CCL28,CCR2	KEGG
