Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Phagosome	Transport and catabolism	Cellular Processes	KEGG:04145	117	21	2.41182076385615e-14	CANX,DYNC1I1,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,TAP1,TAP2,STX7,TLR6	KEGG
Primary immunodeficiency	Immune disease	Human Diseases	KEGG:05340	117	4	0.00709773850637703	CIITA,TAP1,TAP2,ZAP70	KEGG
Rheumatoid arthritis	Immune disease	Human Diseases	KEGG:05323	117	10	2.74359143540321e-06	CD86,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	KEGG
RIG-I-like receptor signaling pathway	Immune system	Organismal Systems	KEGG:04622	117	7	0.000275563763294481	IRF3,IRF7,IKBKE,TBKBP1,DDX58,IFIH1,DHX58	KEGG
Salmonella infection	Infectious disease: bacterial	Human Diseases	KEGG:05132	117	8	0.0370425410666821	DYNC1I1,IRAK1,KLC1,TLR6,EXOC7,EXOC4,KLC4,KLC3	KEGG
SNARE interactions in vesicular transport	Folding, sorting and degradation	Genetic Information Processing	KEGG:04130	117	7	2.09692264918639e-06	STX4,VAMP1,STX7,STX16,BET1,STX17,STX1B	KEGG
Staphylococcus aureus infection	Infectious disease: bacterial	Human Diseases	KEGG:05150	117	9	2.12323580567222e-05	HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	KEGG
Systemic lupus erythematosus	Immune disease	Human Diseases	KEGG:05322	117	10	9.4605647401999e-05	CD86,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	KEGG
T cell receptor signaling pathway	Immune system	Organismal Systems	KEGG:04660	117	5	0.0479506752265395	CD247,PDCD1,PTPN6,ZAP70,GRAP2	KEGG
Th1 and Th2 cell differentiation	Immune system	Organismal Systems	KEGG:04658	117	11	3.77336300560428e-07	CD247,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ZAP70	KEGG
Th17 cell differentiation	Immune system	Organismal Systems	KEGG:04659	117	13	2.41405897791727e-08	CD247,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL1R1,IRF4,ZAP70	KEGG
Toll-like receptor signaling pathway	Immune system	Organismal Systems	KEGG:04620	117	9	7.59519255797681e-05	CD86,IRAK1,IRF3,IRF5,IRF7,TLR1,IKBKE,TLR6,TICAM1	KEGG
Toxoplasmosis	Infectious disease: parasitic	Human Diseases	KEGG:05145	117	11	2.55998733097252e-06	HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IRAK1,CIITA	KEGG
Tuberculosis	Infectious disease: bacterial	Human Diseases	KEGG:05152	117	14	1.40136453458553e-06	CD74,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IRAK1,CIITA,TLR1,TLR6	KEGG
Type I diabetes mellitus	Endocrine and metabolic disease	Human Diseases	KEGG:04940	117	16	2.31037315701884e-18	CD86,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G	KEGG
Vasopressin-regulated water reabsorption	Excretory system	Organismal Systems	KEGG:04962	117	4	0.0123901179263355	DYNC1I1,NSF,STX4,DCTN2	KEGG
Viral carcinogenesis	Cancer: overview	Human Diseases	KEGG:05203	117	9	0.00942442041411345	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,IRF3,IRF7,SP100	KEGG
Viral myocarditis	Cardiovascular disease	Human Diseases	KEGG:05416	117	16	8.2595003999886e-16	CD86,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G	KEGG
