Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Apoptosis - multiple species	Cell growth and death	Cellular Processes	KEGG:04215	309	10	6.88176910191005e-07	BAK1,BCL2,CASP3,CASP7,CASP8,MAPK9,MAPK10,TNFRSF1A,BCL2L11,BBC3	KEGG
Autophagy - animal	Transport and catabolism	Cellular Processes	KEGG:04140	309	28	2.59723225239078e-12	BAD,BCL2,MTOR,HRAS,IGF1R,PIK3CB,PRKAA2,PRKCQ,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTEN,RHEB,RPS6KB1,RRAS,UVRAG,MTMR3,ATG5,RB1CC1,AKT3,RRAS2,PIK3R4,ATG16L1,AMBRA1,ATG4C,SMCR8	KEGG
Autophagy - other	Transport and catabolism	Cellular Processes	KEGG:04136	309	5	0.0128379532891874	MTOR,ATG5,PIK3R4,ATG16L1,ATG4C	KEGG
Axon guidance	Development and regeneration	Organismal Systems	KEGG:04360	309	48	1.80844381286713e-25	RHOA,DCC,DPYSL2,EFNA5,EFNB2,EFNB3,EPHA7,EPHB1,EPHB2,EPHB4,HRAS,MET,PAK1,PAK2,PAK3,PIK3CB,PLXNB3,MAPK1,MAPK3,RAC2,RASA1,RGS3,ROBO1,ROBO2,RRAS,SEMA3F,SLIT1,NCK2,SEMA7A,SLIT2,NTN1,SEMA3E,SRGAP3,PLXNC1,SEMA3A,SEMA4D,SEMA4B,ARHGEF12,PLXNA3,ENAH,PARD3,DPYSL5,SEMA3G,PAK5,SEMA6A,NTN4,SEMA6D,ABLIM2	KEGG
B cell receptor signaling pathway	Immune system	Organismal Systems	KEGG:04662	309	18	5.16212643295916e-09	FCGR2B,GRB2,HRAS,INPP5D,LYN,NFKB1,PIK3CB,PRKCB,MAPK1,MAPK3,MAP2K1,RAC2,SOS1,SYK,BCL10,AKT3,MALT1,CARD11	KEGG
Bacterial invasion of epithelial cells	Infectious disease: bacterial	Human Diseases	KEGG:05100	309	9	0.00390811593905342	RHOA,CDH1,CTNNA2,MET,PIK3CB,BCAR1,ELMO1,SHC2,ELMO2	KEGG
Bladder cancer	Cancer: specific types	Human Diseases	KEGG:05219	309	8	0.000346959461291181	CDH1,EGFR,ERBB2,HRAS,MAPK1,MAPK3,MAP2K1,TP53	KEGG
Breast cancer	Cancer: specific types	Human Diseases	KEGG:05224	309	20	2.66916404377488e-06	BAK1,CDK6,EGFR,ERBB2,MTOR,GRB2,HRAS,IGF1R,KIT,PIK3CB,MAPK1,MAPK3,MAP2K1,PTEN,RPS6KB1,SOS1,TP53,AKT3,SHC2,FGF22	KEGG
C-type lectin receptor signaling pathway	Immune system	Organismal Systems	KEGG:04625	309	22	4.38487554888959e-10	RHOA,CASP8,CYLD,HRAS,IL12A,NFKB1,PAK1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,RRAS,SYK,KSR1,BCL10,AKT3,MALT1,RRAS2,ARHGEF12,IL23A,CARD9	KEGG
cAMP signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04024	309	16	0.0168510967926444	RHOA,BAD,AFDN,NFKB1,PAK1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RRAS,TIAM1,AKT3,RRAS2	KEGG
Cellular senescence	Cell growth and death	Cellular Processes	KEGG:04218	309	17	0.000264354841886284	CDK6,FOXO3,MTOR,HRAS,NFKB1,PIK3CB,MAPK1,MAPK3,MAP2K1,PTEN,RHEB,RRAS,TP53,AKT3,HIPK3,RRAS2,RASSF5	KEGG
Central carbon metabolism in cancer	Cancer: overview	Human Diseases	KEGG:05230	309	15	1.9055283547166e-07	EGFR,ERBB2,MTOR,HRAS,KIT,MET,NTRK1,NTRK3,PIK3CB,MAPK1,MAPK3,MAP2K1,PTEN,TP53,AKT3	KEGG
Chagas disease	Infectious disease: parasitic	Human Diseases	KEGG:05142	309	12	0.00110323299940952	FAS,CASP8,IFNGR2,IL12A,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,TNFRSF1A,AKT3	KEGG
Chemokine signaling pathway	Immune system	Organismal Systems	KEGG:04062	309	26	7.24275781157476e-08	RHOA,BAD,DOCK2,PTK2B,FOXO3,GRB2,HRAS,JAK2,LYN,NFKB1,PAK1,PIK3CB,PIK3CG,PRKCB,MAPK1,MAPK3,MAP2K1,RAC2,SOS1,STAT3,TIAM1,BCAR1,ELMO1,AKT3,SHC2,PARD3	KEGG
Choline metabolism in cancer	Cancer: overview	Human Diseases	KEGG:05231	309	21	9.09038483683799e-10	EGFR,MTOR,GRB2,HRAS,PIK3CB,PLA2G4A,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RALGDS,RHEB,RPS6KB1,SOS1,PIP5K1B,AKT3,PDGFC	KEGG
Cholinergic synapse	Nervous system	Organismal Systems	KEGG:04725	309	11	0.00802106642764248	BCL2,HRAS,JAK2,PIK3CB,PIK3CG,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,AKT3	KEGG
Chronic myeloid leukemia	Cancer: specific types	Human Diseases	KEGG:05220	309	14	3.04983090476738e-06	BAD,BAK1,CDK6,GRB2,HRAS,NFKB1,PIK3CB,MAPK1,MAPK3,MAP2K1,SOS1,TP53,AKT3,SHC2	KEGG
Colorectal cancer	Cancer: specific types	Human Diseases	KEGG:05210	309	24	1.23034636877639e-13	RHOA,BAD,BAK1,BCL2,CASP3,DCC,EGFR,MTOR,GRB2,HRAS,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RALGDS,RPS6KB1,SOS1,TP53,AKT3,BCL2L11,BBC3	KEGG
Cytokine-cytokine receptor interaction	Signaling molecules and interaction	Environmental Information Processing	KEGG:04060	309	34	3.37894430111536e-08	FAS,CNTF,CNTFR,CSF1R,CSF2RB,GHR,IFNAR1,IFNGR2,IL2RA,IL2RB,IL3RA,IL6R,IL7,IL12A,IL12RB1,IL12RB2,IL13,LIF,LIFR,PRLR,TNFRSF1A,TNFRSF25,TNFRSF10A,IL18RAP,IL18R1,OSMR,IL27RA,IL21R,IL23A,IL20RB,IL22RA1,TSLP,IFNLR1,IL27	KEGG
EGFR tyrosine kinase inhibitor resistance	Drug resistance: antineoplastic	Human Diseases	KEGG:01521	309	28	9.11333359126065e-19	BAD,BCL2,EGFR,ERBB2,FOXO3,MTOR,GRB2,HRAS,IGF1R,IL6R,JAK1,JAK2,MET,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,PTEN,RPS6KB1,SOS1,STAT3,NRG2,AKT3,BCL2L11,SHC2,PDGFC	KEGG
Endocrine resistance	Drug resistance: antineoplastic	Human Diseases	KEGG:01522	309	19	1.78454426970454e-08	BAD,BCL2,EGFR,ERBB2,MTOR,GRB2,HRAS,IGF1R,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RPS6KB1,SOS1,TP53,AKT3,SHC2	KEGG
Endometrial cancer	Cancer: specific types	Human Diseases	KEGG:05213	309	17	3.06541647620662e-10	BAD,BAK1,CDH1,CTNNA2,EGFR,ERBB2,FOXO3,GRB2,HRAS,PIK3CB,MAPK1,MAPK3,MAP2K1,PTEN,SOS1,TP53,AKT3	KEGG
Epithelial cell signaling in Helicobacter pylori infection	Infectious disease: bacterial	Human Diseases	KEGG:05120	309	10	0.000761494008667436	CASP3,CSK,EGFR,LYN,MET,NFKB1,PAK1,MAPK9,MAPK10,TJP1	KEGG
Epstein-Barr virus infection	Infectious disease: viral	Human Diseases	KEGG:05169	309	19	0.000551551279293685	FAS,BAK1,BCL2,CASP3,CASP8,CDK6,IFNAR1,JAK1,LYN,NFKB1,PIK3CB,MAPK9,MAPK10,STAT3,SYK,TP53,TYK2,AKT3,BCL2L11	KEGG
ErbB signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04012	309	25	9.51410291446023e-15	BAD,EGFR,ERBB2,MTOR,GRB2,HRAS,PAK1,PAK2,PAK3,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RPS6KB1,SOS1,NCK2,NRG2,AKT3,SHC2,PAK5,NRG4	KEGG
Estrogen signaling pathway	Endocrine system	Organismal Systems	KEGG:04915	309	11	0.0289765162267659	BCL2,EGFR,GRB2,HRAS,PIK3CB,MAPK1,MAPK3,MAP2K1,SOS1,AKT3,SHC2	KEGG
Fc epsilon RI signaling pathway	Immune system	Organismal Systems	KEGG:04664	309	16	1.78454426970454e-08	GRB2,HRAS,IL13,INPP5D,LYN,PIK3CB,PLA2G4A,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,SOS1,SYK,AKT3	KEGG
Fc gamma R-mediated phagocytosis	Immune system	Organismal Systems	KEGG:04666	309	18	4.99114340728193e-08	FCGR2B,INPP5D,LYN,PAK1,PIK3CB,PLA2G4A,PRKCB,PRKCE,PRKCG,MAPK1,MAPK3,MAP2K1,RAC2,RPS6KB1,SYK,PIP5K1B,AKT3,SPHK2	KEGG
Fluid shear stress and atherosclerosis	Cardiovascular disease	Human Diseases	KEGG:05418	309	14	0.0018766826157499	RHOA,BCL2,MAP3K5,NCF2,NFKB1,PIK3CB,PRKAA2,MAPK9,MAPK10,RAC2,TNFRSF1A,TP53,TXN,AKT3	KEGG
Focal adhesion	Cellular community - eukaryotes	Cellular Processes	KEGG:04510	309	37	1.65698389364685e-14	RHOA,BAD,BCL2,EGFR,ERBB2,GRB2,RAPGEF1,HRAS,IGF1R,ITGA6,LAMA2,LAMC2,MET,PAK1,PAK2,PAK3,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTEN,RAC2,SOS1,VEGFB,VEGFC,VWF,PIP5K1B,BCAR1,AKT3,SHC2,PDGFC,PAK5,LAMA1	KEGG
FoxO signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04068	309	21	9.52411895893147e-08	BCL6,EGFR,FOXO3,GRB2,HRAS,IGF1R,PIK3CB,PRKAA2,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTEN,SGK1,SOS1,STAT3,STK4,AKT3,BCL2L11,PRKAG2	KEGG
Gap junction	Cellular community - eukaryotes	Cellular Processes	KEGG:04540	309	11	0.00120385115232283	EGFR,GRB2,HRAS,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,SOS1,TJP1,PDGFC	KEGG
Gastric cancer	Cancer: specific types	Human Diseases	KEGG:05226	309	20	2.93766851939056e-06	BAK1,BCL2,CDH1,CTNNA2,EGFR,ERBB2,MTOR,GRB2,HRAS,MET,PIK3CB,MAPK1,MAPK3,MAP2K1,RPS6KB1,SOS1,TP53,AKT3,SHC2,FGF22	KEGG
Glioma	Cancer: specific types	Human Diseases	KEGG:05214	309	18	2.43387244098218e-09	BAK1,CDK6,EGFR,MTOR,GRB2,HRAS,IGF1R,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,PTEN,SOS1,TP53,AKT3,SHC2	KEGG
GnRH secretion	Endocrine system	Organismal Systems	KEGG:04929	309	8	0.00603901335964732	HRAS,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,AKT3	KEGG
GnRH signaling pathway	Endocrine system	Organismal Systems	KEGG:04912	309	14	3.26769303897965e-05	EGFR,PTK2B,GRB2,HRAS,MAP3K3,MAP3K4,PLA2G4A,PRKCB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,SOS1	KEGG
Growth hormone synthesis, secretion and action	Endocrine system	Organismal Systems	KEGG:04935	309	18	1.74780859417561e-06	MTOR,GHR,GRB2,HRAS,JAK2,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,SOS1,STAT3,BCAR1,AKT3,SHC2	KEGG
Hepatitis B	Infectious disease: viral	Human Diseases	KEGG:05161	309	26	3.69769274418809e-09	FAS,BAD,BCL2,CASP3,CASP8,CASP10,PTK2B,GRB2,HRAS,IFNAR1,JAK1,JAK2,NFKB1,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,SOS1,STAT3,TP53,TYK2,AKT3	KEGG
Hepatitis C	Infectious disease: viral	Human Diseases	KEGG:05160	309	22	5.03128148329231e-07	FAS,BAD,BAK1,CASP3,CASP8,CDK6,EGFR,GRB2,HRAS,IFNAR1,JAK1,NFKB1,PIK3CB,MAPK1,MAPK3,MAP2K1,SOS1,STAT3,TNFRSF1A,TP53,TYK2,AKT3	KEGG
Hepatocellular carcinoma	Cancer: specific types	Human Diseases	KEGG:05225	309	22	1.24170843640516e-06	BAD,BAK1,CDK6,EGFR,MTOR,GRB2,HRAS,IGF1R,IGF2,MET,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,PTEN,RPS6KB1,SOS1,TP53,AKT3,SHC2	KEGG
HIF-1 signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04066	309	18	5.67758208448323e-07	ANGPT1,BCL2,EGFR,ERBB2,MTOR,IFNGR2,IGF1R,IL6R,NFKB1,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RPS6KB1,STAT3,AKT3	KEGG
Hippo signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04390	309	12	0.0313819995312904	CDH1,CTNNA2,LLGL2,LLGL1,PRKCI,TP53BP2,YAP1,BBC3,PARD3,MPP5,AMOT,RASSF6	KEGG
Human cytomegalovirus infection	Infectious disease: viral	Human Diseases	KEGG:05163	309	31	3.2331789490879e-09	FAS,RHOA,BAK1,CASP3,CASP8,CDK6,EGFR,PTK2B,MTOR,GRB2,HRAS,IL6R,JAK1,NFKB1,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RAC2,RHEB,RPS6KB1,SOS1,STAT3,TNFRSF1A,TP53,BCAR1,ARHGEF11,AKT3,ARHGEF12	KEGG
Human immunodeficiency virus 1 infection	Infectious disease: viral	Human Diseases	KEGG:05170	309	26	4.7255973197664e-07	FAS,BAD,BAK1,BCL2,CASP3,CASP8,PTK2B,MTOR,HRAS,NFKB1,PAK1,PAK2,PAK3,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RAC2,RPS6KB1,TNFRSF1A,AKT3,PAK5	KEGG
Human papillomavirus infection	Infectious disease: viral	Human Diseases	KEGG:05165	309	36	6.5960874464354e-08	FAS,BAD,BAK1,CASP3,CASP8,CDK6,EGFR,MTOR,GRB2,HRAS,IFNAR1,ITGA6,JAK1,LAMA2,LAMC2,LLGL2,LLGL1,NFKB1,NFX1,PIK3CB,PRKCI,MAPK1,MAPK3,MAP2K1,PTEN,RHEB,RPS6KB1,SOS1,TNFRSF1A,TP53,TYK2,VWF,AKT3,PARD3,MPP5,LAMA1	KEGG
Human T-cell leukemia virus 1 infection	Infectious disease: viral	Human Diseases	KEGG:05166	309	17	0.00802106642764248	ETS2,HRAS,IL2RA,IL2RB,JAK1,MAP3K3,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTEN,TNFRSF1A,TP53,AKT3	KEGG
IL-17 signaling pathway	Immune system	Organismal Systems	KEGG:04657	309	10	0.00559517194039062	CASP3,CASP8,IL13,NFKB1,MAPK1,MAPK3,MAPK4,MAPK9,MAPK10,TAB3	KEGG
Inflammatory bowel disease	Immune disease	Human Diseases	KEGG:05321	309	12	1.03358826451091e-05	IFNGR2,IL12A,IL12RB1,IL12RB2,IL13,NFKB1,STAT3,IL18RAP,IL18R1,IL21R,IL23A,NOD2	KEGG
Inflammatory mediator regulation of TRP channels	Sensory system	Organismal Systems	KEGG:04750	309	9	0.0262633547902706	NTRK1,PIK3CB,PLA2G4A,PRKCB,PRKCE,PRKCG,PRKCQ,MAPK9,MAPK10	KEGG
Influenza A	Infectious disease: viral	Human Diseases	KEGG:05164	309	20	1.99367890360972e-05	FAS,BAK1,CASP3,CASP8,CDK6,IFNAR1,IFNGR2,IL12A,JAK1,JAK2,NFKB1,PIK3CB,PRKCB,MAPK1,MAPK3,MAP2K1,TNFRSF1A,TYK2,TNFRSF10A,AKT3	KEGG
Inositol phosphate metabolism	Carbohydrate metabolism	Metabolism	KEGG:00562	309	20	2.77955599189021e-11	INPP4A,INPP5B,INPP5D,ITPK1,ITPKA,ITPKB,PIK3C2B,PIK3CB,PIK3CG,PI4KA,PIP4K2A,PTEN,PIP5K1B,MTMR3,CDIPT,INPP5F,PI4K2A,INPP5E,PIP4K2C,IPMK	KEGG
Insulin resistance	Endocrine and metabolic disease	Human Diseases	KEGG:04931	309	19	1.04915441733699e-07	MTOR,GYS1,NFKB1,PIK3CB,PRKAA2,PRKCB,PRKCE,PRKCQ,MAPK9,MAPK10,PTEN,PTPN1,RPS6KA2,RPS6KA3,RPS6KB1,STAT3,TNFRSF1A,AKT3,PRKAG2	KEGG
Insulin signaling pathway	Endocrine system	Organismal Systems	KEGG:04910	309	21	1.9055283547166e-07	BAD,MTOR,GRB2,RAPGEF1,GYS1,HRAS,PIK3CB,PRKAA2,PRKCI,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTPN1,RHEB,RPS6KB1,SOS1,AKT3,SHC2,PRKAG2	KEGG
JAK-STAT signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04630	309	39	2.28689361336489e-19	BCL2,CNTF,CNTFR,CSF2RB,EGFR,MTOR,GHR,GRB2,HRAS,IFNAR1,IFNGR2,IL2RA,IL2RB,IL3RA,IL6R,IL7,IL12A,IL12RB1,IL12RB2,IL13,JAK1,JAK2,LIF,LIFR,PIK3CB,PRLR,PTPN2,SOS1,STAT3,TYK2,OSMR,IL27RA,AKT3,IL21R,IL23A,IL20RB,IL22RA1,TSLP,IFNLR1	KEGG
Kaposi sarcoma-associated herpesvirus infection	Infectious disease: viral	Human Diseases	KEGG:05167	309	25	3.47685282090818e-07	FAS,BAK1,CASP3,CASP8,CDK6,MTOR,HRAS,IFNAR1,JAK1,JAK2,LYN,NFKB1,PIK3CB,PIK3CG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,STAT3,SYK,TNFRSF1A,TP53,TYK2,AKT3	KEGG
Leishmaniasis	Infectious disease: parasitic	Human Diseases	KEGG:05140	309	10	0.000941478954608197	IFNGR2,IL12A,JAK1,JAK2,NCF2,NCF4,NFKB1,PRKCB,MAPK1,MAPK3	KEGG
Leukocyte transendothelial migration	Immune system	Organismal Systems	KEGG:04670	309	14	0.000293991342690504	RHOA,CTNNA2,PTK2B,AFDN,NCF2,NCF4,PIK3CB,PRKCB,PRKCG,RAC2,TXK,EZR,BCAR1,RASSF5	KEGG
Long-term depression	Nervous system	Organismal Systems	KEGG:04730	309	9	0.000905641966434672	HRAS,IGF1R,LYN,PLA2G4A,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1	KEGG
Long-term potentiation	Nervous system	Organismal Systems	KEGG:04720	309	8	0.00797979074908428	HRAS,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RPS6KA2,RPS6KA3	KEGG
Longevity regulating pathway	Aging	Organismal Systems	KEGG:04211	309	14	1.77620211238445e-05	FOXO3,MTOR,HRAS,IGF1R,NFKB1,PIK3CB,PRKAA2,RHEB,RPS6KB1,TP53,ATG5,RB1CC1,AKT3,PRKAG2	KEGG
Longevity regulating pathway - multiple species	Aging	Organismal Systems	KEGG:04213	309	10	0.00025776746099387	FOXO3,MTOR,HRAS,IGF1R,PIK3CB,PRKAA2,RPS6KB1,ATG5,AKT3,PRKAG2	KEGG
MAPK signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04010	309	53	3.65511246451092e-20	ANGPT1,FAS,CASP3,CSF1R,EFNA5,EGFR,ERBB2,FGFR4,GRB2,HRAS,IGF1R,IGF2,KIT,MAP3K3,MAP3K4,MAP3K5,MET,NFKB1,NTRK1,NTRK2,PAK1,PAK2,PLA2G4A,PRKCB,PRKCG,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTPRR,RAC2,RASA1,RASGRF2,RPS6KA2,RPS6KA3,RRAS,SOS1,STK4,TNFRSF1A,TP53,VEGFB,VEGFC,MAPKAPK5,RPS6KA4,RAPGEF2,AKT3,RASGRP1,DUSP10,RRAS2,FGF22,PDGFC,DUSP16	KEGG
Measles	Infectious disease: viral	Human Diseases	KEGG:05162	309	23	1.60629568846885e-08	FAS,BAD,BAK1,BCL2,CASP3,CASP8,CDK6,CSNK2A2,FCGR2B,IFNAR1,IL2RA,IL2RB,IL12A,JAK1,NFKB1,PIK3CB,MAPK9,MAPK10,STAT3,TP53,TYK2,AKT3,BBC3	KEGG
Melanoma	Cancer: specific types	Human Diseases	KEGG:05218	309	17	8.06641474459085e-09	BAD,BAK1,CDH1,CDK6,EGFR,HRAS,IGF1R,MET,PIK3CB,MAPK1,MAPK3,MAP2K1,PTEN,TP53,AKT3,FGF22,PDGFC	KEGG
MicroRNAs in cancer	Cancer: overview	Human Diseases	KEGG:05206	309	27	0.000167922549680691	RHOA,BAK1,BCL2,CASP3,CDK6,EFNA5,EGFR,ERBB2,MTOR,GRB2,HRAS,MET,NFKB1,PIK3CB,PRKCB,PRKCE,PRKCG,MAPK1,MAPK3,MAP2K1,PTEN,RDX,SOS1,STAT3,TP53,EZR,BCL2L11	KEGG
Mitophagy - animal	Transport and catabolism	Cellular Processes	KEGG:04137	309	10	0.000610456103922482	CSNK2A2,FOXO3,HRAS,MAPK9,MAPK10,RRAS,TP53,ATG5,RRAS2,AMBRA1	KEGG
mTOR signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04150	309	24	2.31485104012218e-08	RHOA,MTOR,GRB2,HRAS,IGF1R,PIK3CB,PRKAA2,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,PTEN,RHEB,RPS6KA2,RPS6KA3,RPS6KB1,SGK1,SOS1,TNFRSF1A,TELO2,AKT3,TBC1D7,MAPKAP1	KEGG
Natural killer cell mediated cytotoxicity	Immune system	Organismal Systems	KEGG:04650	309	19	7.4001648684605e-07	FAS,CASP3,PTK2B,GRB2,HRAS,IFNAR1,IFNGR2,PAK1,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,RAC2,SOS1,SYK,TNFRSF10A,SHC2	KEGG
Necroptosis	Cell growth and death	Cellular Processes	KEGG:04217	309	18	0.00010861362303213	FAS,BCL2,CASP8,CYLD,IFNAR1,IFNGR2,JAK1,JAK2,PLA2G4A,MAPK9,MAPK10,STAT3,TNFRSF1A,TYK2,TNFRSF10A,SPATA2,SHARPIN,SPATA2L	KEGG
Neurotrophin signaling pathway	Nervous system	Organismal Systems	KEGG:04722	309	28	8.6581871574637e-14	RHOA,BAD,BCL2,FOXO3,GRB2,RAPGEF1,HRAS,MAP3K3,MAP3K5,NFKB1,NTRK1,NTRK2,NTRK3,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,RPS6KA2,RPS6KA3,SOS1,TP53,RIPK2,AKT3,SH2B3,SHC2,SH2B1	KEGG
NF-kappa B signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04064	309	15	2.19453951671863e-05	BCL2,CSNK2A2,CYLD,LYN,NFKB1,PRKCB,PRKCQ,SYK,TNFRSF1A,BCL10,MALT1,PIDD1,CARD14,CARD11,TAB3	KEGG
NOD-like receptor signaling pathway	Immune system	Organismal Systems	KEGG:04621	309	24	2.67229004422627e-07	RHOA,BCL2,CASP8,IFNAR1,JAK1,NFKB1,PKN1,PKN2,MAPK1,MAPK3,MAPK9,MAPK10,TRIP6,TXN,TYK2,RIPK2,ATG5,NLRP1,ATG16L1,NOD2,CARD9,SHARPIN,CARD6,TAB3	KEGG
Non-alcoholic fatty liver disease	Endocrine and metabolic disease	Human Diseases	KEGG:04932	309	15	0.00145754451054131	FAS,CASP3,CASP7,CASP8,IL6R,MAP3K5,NFKB1,PIK3CB,PRKAA2,MAPK9,MAPK10,TNFRSF1A,AKT3,BCL2L11,PRKAG2	KEGG
Non-small cell lung cancer	Cancer: specific types	Human Diseases	KEGG:05223	309	22	6.26549974070217e-14	BAD,BAK1,CDK6,EGFR,ERBB2,FHIT,FOXO3,GRB2,HRAS,MET,PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,MAP2K1,SOS1,STAT3,STK4,TP53,AKT3,RASSF5	KEGG
Osteoclast differentiation	Development and regeneration	Organismal Systems	KEGG:04380	309	22	1.1392143616312e-08	CSF1R,CYLD,FCGR2B,FOSL2,GRB2,IFNAR1,IFNGR2,JAK1,NCF2,NCF4,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,SYK,TEC,TNFRSF1A,TYK2,AKT3	KEGG
